Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.7361,0.0446,0.9500
0.8194,0.0491,0.9000
0.8819,0.0714,0.8500
0.8958,0.0893,0.8000
0.8958,0.1429,0.7500
0.9236,0.1920,0.7000
0.9375,0.2277,0.6500
0.9514,0.2723,0.6000
0.9514,0.3214,0.5500
0.9514,0.3795,0.5000
0.9514,0.4241,0.4500
0.9722,0.4866,0.4000
0.9792,0.5402,0.3500
0.9861,0.5670,0.3000
0.9931,0.5938,0.2500
0.9931,0.6384,0.2000
0.9931,0.7143,0.1500
0.9931,0.7679,0.1000
1.0000,0.8259,0.0500
Best %,Threshold
91.0326,0.8500
TP,FP,FN,TN
127,16,17,208
